1457006858536,-0.23583984,2.0152588,0.4160614
1457006858540,-0.2828369,2.28656,0.6830902
1457006858545,-0.3661499,2.6048584,0.97468567
1457006858550,-0.46121216,2.861206,1.2577362
1457006858556,-0.5391846,2.9786987,1.505539
1457006858560,-0.5829773,2.9306335,1.7042084
1457006858566,-0.6182251,2.7640076,1.8526764
1457006858570,-0.6620178,2.5130005,1.9648285
1457006858575,-0.7250366,2.1882935,2.0406647
1457006858580,-0.8510742,1.7129822,2.0652313
1457006858585,-1.0657654,1.0774536,2.0203705
1457006858590,-1.3114319,0.37677002,1.8708344
1457006858596,-1.4919434,-0.23953247,1.6048737
1457006858600,-1.5560303,-0.6625061,1.247055
1457006858605,-1.5432129,-0.92419434,0.8497162
1457006858610,-1.5122375,-1.0822754,0.486557
1457006858614,-1.4876709,-1.1794739,0.21632385
1457006858620,-1.4876709,-1.2521057,0.067855835
1457006858625,-1.5090332,-1.2873535,0.0059051514
1457006858630,-1.5474854,-1.2766724,-0.021865845
1457006858635,-1.5944824,-1.2115173,-0.03895569
1457006858641,-1.645752,-1.1260681,-0.06352234
1457006858645,-1.6884766,-1.0331421,-0.10090637
1457006858650,-1.7141113,-0.9637146,-0.1382904
1457006858656,-1.7087708,-0.95303345,-0.17781067
1457006858660,-1.6532288,-0.9081726,-0.21946716
1457006858665,-1.526123,-0.7661133,-0.2504425
1457006858671,-1.3263855,-0.5343323,-0.27394104
1457006858675,-1.0636292,-0.2758484,-0.31132507
1457006858680,-0.7517395,-0.022705078,-0.38182068
1457006858685,-0.39819336,0.23684692,-0.48542786
1457006858690,-0.022216797,0.52630615,-0.61680603
1457006858694,0.355896,0.8595581,-0.77275085
1457006858699,0.6859436,1.2280579,-0.94898987
1457006858705,0.940155,1.6072388,-1.1156158
1457006858709,1.1003723,1.9853516,-1.2309723
1457006858715,1.1601868,2.3805542,-1.2811737
1457006858719,1.1281433,2.777893,-1.2822418
1457006858724,1.0352173,3.1506653,-1.2726288
1457006858730,0.8952942,3.490326,-1.2736969
1457006858734,0.72332764,3.8043518,-1.2886505
1457006858739,0.54174805,4.0895386,-1.3185577
1457006858745,0.3697815,4.325592,-1.3634186
1457006858749,0.21170044,4.502899,-1.4146881
1457006858754,0.057891846,4.6470947,-1.4638214
1457006858760,-0.101257324,4.7838135,-1.5076141
1457006858764,-0.27108765,4.907715,-1.5471344
1457006858769,-0.43450928,4.9995728,-1.5866547
1457006858776,-0.59472656,5.066864,-1.6368561
1457006858779,-0.74746704,5.10318,-1.7084198
1457006858784,-0.89593506,5.132019,-1.8056183
1457006858789,-1.0358582,5.1544495,-1.9284515
1457006858794,-1.164032,5.177948,-2.0598297
1457006858799,-1.2986145,5.177948,-2.1954803
1457006858805,-1.4460144,5.1288147,-2.3364716
1457006858809,-1.6040955,5.009186,-2.497757
1457006858814,-1.7546997,4.8297424,-2.6846771
1457006858819,-1.8839417,4.6268005,-2.879074
1457006858824,-1.9918213,4.4302673,-3.0489044
1457006858830,-2.0794067,4.251892,-3.1888275
1457006858834,-2.1413574,4.091675,-3.3031158
1457006858839,-2.1915588,3.9517517,-3.4024506
1457006858844,-2.2438965,3.806488,-3.4793549
1457006858849,-2.3111877,3.6430664,-3.5252838
1457006858854,-2.3945007,3.4785767,-3.5413055
1457006858859,-2.4842224,3.3237,-3.54451
1457006858864,-2.5686035,3.1816406,-3.5583954
1457006858869,-2.6508484,3.0588074,-3.5979156
1457006858874,-2.7330933,2.9573364,-3.6587982
1457006858879,-2.8196106,2.8825684,-3.7324982
1457006858884,-2.9104004,2.8195496,-3.8019257
1457006858889,-3.0054626,2.7704163,-3.859604
1457006858894,-3.0994568,2.7373047,-3.9044647
1457006858899,-3.1870422,2.7373047,-3.9365082
1457006858904,-3.2457886,2.759735,-3.953598
1457006858909,-3.2660828,2.7885742,-3.9514618
1457006858914,-3.23938,2.7992554,-3.9268951
1457006858919,-3.1678162,2.7917786,-3.8809662
1457006858924,-3.0503235,2.777893,-3.814743
1457006858928,-2.8954468,2.759735,-3.7324982
1457006858933,-2.711731,2.7287598,-3.6342316
1457006858939,-2.5109253,2.676422,-3.517807
1457006858943,-2.3154602,2.6123352,-3.3725433
1457006858948,-2.1445618,2.5236816,-3.1952362
1457006858954,-2.016388,2.3997803,-3.0061798
1457006858958,-1.9480286,2.2384949,-2.8246002
1457006858963,-1.9512329,2.0334167,-2.647293
1457006858968,-2.0195923,1.7642517,-2.4657135
1457006858973,-2.146698,1.4245911,-2.276657
1457006858978,-2.322937,1.0080261,-2.0843964
1457006858984,-2.5397644,0.51348877,-1.8921356
1457006858988,-2.7907715,-0.061157227,-1.7062836
1457006858993,-3.0588684,-0.70202637,-1.5385895
1457006858998,-3.3226929,-1.3866882,-1.3997345
1457006859003,-3.5598145,-2.0499878,-1.2822418
1457006859008,-3.7456665,-2.6385193,-1.1711578
1457006859014,-3.8652954,-3.154419,-1.052597
1457006859018,-3.90802,-3.6243896,-0.91374207
1457006859023,-3.879181,-4.0388184,-0.7471161
1457006859029,-3.7905273,-4.380615,-0.5601959
1457006859033,-3.6538086,-4.663666,-0.37113953
1457006859038,-3.462616,-4.6967773,-0.17460632
1457006859043,-3.22229,-4.4297485,0.04008484
1457006859048,-2.9937134,-4.2812805,0.23661804
1457006859053,-2.8441772,-4.296234,0.38935852
1457006859058,-2.7929077,-4.5483093,0.46305847
1457006859063,-2.7929077,-4.9926453,0.4374237
1457006859068,-2.6903687,-5.325897,0.39683533
1457006859073,-2.3752747,-5.316284,0.43208313
